group,extension,icon,color
folder,_folder,,blue
dev,a,,green
dev,c,,blue
dev,o,󰆧,gray
dev,js,,yellow
dev,ts,,blue
dev,jsx,,blue
dev,tsx,,blue
dev,java,,red
dev,class,,red
dev,jar,,red
dev,kt,,purple
dev,swift,,orange
dev,py,,yellow
dev,h,,purple
dev,cpp,,blue
dev,hpp,,purple
dev,cs,󰌛,blue
dev,rb,,red
dev,rs,,red
dev,go,󰟓,cyan
dev,php,,purple
dev,json,,yellow
dev,lua,,blue
dev,md,,blue
dev,html,,orange
dev,css,,blue
dev,git,,red
dev,gitignore,,red
dev,sqlite,,yellow
dev,db,,yellow
dev,sql,,yellow
dev,tex,,blue
dev,out,󰞷,red
dev,bash_history,,green
dev,bashrc,,green
dev,profile,,blue
dev,bash_profile,,blue
dev,zshrc,,yellow
dev,zsh_history,,yellow
dev,gdbinit,,green
dev,gdb_history,,green
dev,cargo-lock,,red
dev,lock,,red
dev,toml,,red
dev,rs,,red
dev,go,󰟓,cyan
env,env,,gray
env,env.local,,gray
env,env.development,,gray
env,env.production,,gray
env,env.test,,gray
env,env.staging,,gray
env,env.example,,gray
generic,xml,,blue
generic,yaml,,gray
generic,txt,,gray
generic,yml,,gray
generic,dll,,blue
generic,conf,,gray
generic,iso,,gray
generic,LICENSE,,blue
windows,exe,,blue
windows,msi,,blue
windows,bat,,green
linux,desktop,,blue
linux,cmd,,green
linux,sh,,green
linux,zsh,,green
linux,service,,gray
macos,app,,blue
images,jpg,,green
images,jpeg,,green
images,png,,green
images,gif,,green
images,bmp,,green
images,tiff,,green
videos,mp4,,blue
videos,avi,,blue
videos,mkv,,blue
audio,mp3,󱑽,green
audio,wav,󱑽,green
audio,flac,󱑽,green
documents,pdf,,red
documents,doc,,blue
documents,docx,,blue
documents,xls,,green
documents,xlsx,,green
documents,ppt,,orange
documents,pptx,,orange
archives,zip,,yellow
archives,tar,,yellow
archives,gz,,yellow
archives,bz2,,yellow
archives,rar,,purple
archives,7z,,yellow
fonts,ttf,,red
fonts,otf,,red
fonts,woff,,red
fonts,woff2,,red
rnote,rnote,,white
